VARZEA GRANDE;MT;CUIABA;MT;7,98
VERA;MT;CUIABA;MT;460,71
VILA BELA DA SANTISSIMA TRINDADE;MT;CUIABA;MT;522,19
VILA RICA;MT;PORANGATU;GO;778,75
VARZEA GRANDE;MT;CUIABA;MT;7,98
VERA;MT;CUIABA;MT;460,71
VILA BELA DA SANTISSIMA TRINDADE;MT;CUIABA;MT;522,19
VILA RICA;MT;PORANGATU;GO;778,75
VARZEA GRANDE;MT;CUIABA;MT;7,98
VERA;MT;CUIABA;MT;460,71
VILA BELA DA SANTISSIMA TRINDADE;MT;CUIABA;MT;522,19
VILA RICA;MT;PORANGATU;GO;778,75
VARZEA GRANDE;MT;CUIABA;MT;7,98
VERA;MT;CUIABA;MT;460,71
VILA BELA DA SANTISSIMA TRINDADE;MT;CUIABA;MT;522,19
VILA RICA;MT;PORANGATU;GO;778,75
VARZEA GRANDE;MT;CUIABA;MT;7,98
VERA;MT;CUIABA;MT;460,71
VILA BELA DA SANTISSIMA TRINDADE;MT;CUIABA;MT;522,19
VILA RICA;MT;PORANGATU;GO;778,75
VARZEA GRANDE;MT;CUIABA;MT;7,98
VERA;MT;CUIABA;MT;460,71
VILA BELA DA SANTISSIMA TRINDADE;MT;CUIABA;MT;522,19
VILA RICA;MT;PORANGATU;GO;778,75
